cluster,movie_id,movie_name,genre
2,tt0037387,The Tower of the Seven Hunchbacks,"Comedy, Fantasy, Horror"
2,tt0037441,Voodoo Man,"Crime, Drama, Horror"
2,tt0037455,Western Approaches,"Drama, War"
2,tt0037458,When Strangers Marry,"Crime, Drama, Film-Noir"
2,tt0037461,The Whistler,"Film-Noir, Mystery"
4,tt0037469,The Woman in the Window,"Crime, Drama, Film-Noir"
4,tt0037549,The Body Snatcher,"Horror, Thriller"
1,tt0037557,Brewster's Millions,"Comedy, Music, Romance"
2,tt0037630,Les Dames du Bois de Boulogne,"Drama, Romance"
1,tt0037671,The Enchanted Cottage,"Drama, Fantasy, Romance"
2,tt0037680,Days of Hope,"Drama, War"
2,tt0037793,House of Dracula,"Fantasy, Horror, Sci-Fi"
1,tt0037811,Identity Unknown,"Drama, Music, Romance"
4,tt0037824,"Ivan the Terrible, Part I","Biography, Drama, History"
1,tt0037909,Mexicana,"Music, Romance"
2,tt0037950,Notorious Gentleman,"Drama, Romance"
1,tt0038007,The Purple Monster Strikes,"Action, Sci-Fi"
2,tt0038031,Road to Alcatraz,"Action, Crime, Mystery"
1,tt0038046,"Salome, Where She Danced","Adventure, Drama, Music"
2,tt0038169,Three's a Crowd,"Crime, Drama, Mystery"
0,tt0038182,The Men Who Tread on the Tiger's Tail,"Adventure, Drama, Thriller"
1,tt0038256,Without Love,"Comedy, Romance"
4,tt0038259,The Woman in Green,"Crime, Drama, Mystery"
3,tt0038262,Yolanda and the Thief,"Fantasy, Musical, Romance"
1,tt0038263,You Came Along,"Drama, Romance"
1,tt0038302,Anmol Ghadi,"Drama, Musical, Romance"
1,tt0038326,The Bandit of Sherwood Forest,"Action, Adventure, Family"
1,tt0038340,Beauty and the Bandit,"Drama, Romance, Western"
2,tt0038342,Bedelia,"Crime, Drama, Romance"
1,tt0038353,Beware,"Music, Romance"
4,tt0038355,The Big Sleep,"Crime, Film-Noir, Mystery"
1,tt0038361,Black Beauty,"Drama, Family, Romance"
2,tt0038366,Blonde for a Day,"Action, Adventure, Crime"
2,tt0038369,The Blue Dahlia,"Crime, Film-Noir, Mystery"
1,tt0038390,Caesar and Cleopatra,"Biography, Comedy, Drama"
2,tt0038409,The Chase,"Crime, Film-Noir, Romance"
2,tt0038418,A Close Call for Boston Blackie,"Comedy, Crime, Drama"
2,tt0038476,Devil in the Flesh,"Drama, Romance"
2,tt0038477,The Diary of a Chambermaid,"Drama, Romance"
1,tt0038504,Earl Carroll Sketchbook,"Comedy, Music, Romance"
3,tt0038650,It's a Wonderful Life,"Drama, Family, Fantasy"
1,tt0038704,Love Laughs at Andy Hardy,"Comedy, Family, Romance"
1,tt0038716,The Magnificent Rogue,"Comedy, Romance"
4,tt0038769,Murderers Among Us,"Drama, Romance, Thriller"
1,tt0038776,Night and Day,"Biography, Drama, Musical"
2,tt0038782,Nocturne,"Crime, Drama, Film-Noir"
0,tt0038787,Notorious,"Drama, Film-Noir, Romance"
2,tt0038794,O.S.S.,"Drama, War"
1,tt0038801,One Exciting Week,"Comedy, Crime, Romance"
2,tt0038918,Secrets of a Sorority Girl,"Crime, Drama"
2,tt0038990,The Strange Woman,"Drama, Romance, Thriller"
1,tt0039037,The Time of Their Lives,"Comedy, Family, Fantasy"
1,tt0039040,To Each His Own,"Drama, Romance"
2,tt0039042,Traffic in Crime,"Action, Adventure, Drama"
4,tt0039066,Undercurrent,"Drama, Film-Noir, Thriller"
2,tt0039158,Appointment with Crime,"Crime, Drama"
1,tt0039169,The Bachelor and the Bobby-Soxer,"Comedy, Romance"
3,tt0039190,The Bishop's Wife,"Comedy, Drama, Fantasy"
4,tt0039208,Boomerang!,"Crime, Drama, Film-Noir"
4,tt0039286,Crossfire,"Crime, Drama, Film-Noir"
1,tt0039310,The Last Vacation,"Drama, Romance"
2,tt0039314,Det kom en gäst...,Thriller
2,tt0039323,La diosa arrodillada,"Crime, Drama, Mystery"
2,tt0039340,Dreams That Money Can Buy,"Drama, Fantasy"
2,tt0039416,Gentleman's Agreement,"Drama, Romance"
1,tt0039431,Good News,"Comedy, Music, Musical"
1,tt0039438,The Guilt of Janet Ames,"Drama, Mystery, Romance"
2,tt0039482,I Walk Alone,"Crime, Drama, Film-Noir"
1,tt0039501,It Happened in Brooklyn,"Comedy, Musical, Romance"
2,tt0039567,Lighthouse,"Drama, Music, Romance"
2,tt0039591,The Macomber Affair,"Adventure, Drama"
3,tt0039628,Miracle on 34th Street,"Comedy, Drama, Family"
0,tt0039632,Monsieur Vincent,"Biography, Drama, History"
2,tt0039739,Quai des Orfèvres,"Crime, Drama"
1,tt0039894,That's My Gal,"Action, Comedy, Music"
2,tt0040098,Anna Karenina,"Drama, Romance"
1,tt0040271,A Date with Judy,"Comedy, Musical, Romance"
1,tt0040336,"Fado, História d'uma Cantadeira","Drama, Musical, Romance"
1,tt0040539,Lightnin' in the Forest,"Action, Comedy, Crime"
4,tt0040695,Pitfall,"Crime, Film-Noir, Thriller"
2,tt0040737,Bitter Rice,"Crime, Drama"
4,tt0040746,Rope,"Crime, Drama, Mystery"
2,tt0040768,Secret Service Investigator,"Crime, Drama, Romance"
2,tt0040829,The Amazing Mr. X,"Film-Noir, Horror, Thriller"
2,tt0040895,Train to Alcatraz,"Action, Crime, Drama"
4,tt0040897,The Treasure of the Sierra Madre,"Adventure, Drama, Western"
2,tt0040946,Wake of the Red Witch,"Action, Adventure, Romance"
3,tt0040976,Words and Music,"Biography, Comedy, Musical"
4,tt0040979,Drunken Angel,"Crime, Drama, Romance"
4,tt0041113,All the King's Men,"Drama, Film-Noir"
1,tt0041281,Daughter of the Jungle,Adventure
0,tt0041340,Eureka Stockade,"Drama, History"
2,tt0041372,Flaming Fury,"Crime, Drama"
4,tt0041437,Guilty of Treason,"Biography, Drama, History"
4,tt0041460,The Hidden Room,"Crime, Film-Noir, Thriller"
2,tt0041461,Hideout,"Crime, Drama, Film-Noir"
1,tt0041509,The Inspector General,"Comedy, Musical, Romance"
4,tt0041513,Intruder in the Dust,"Crime, Drama, Family"
1,tt0041545,The Kid from Cleveland,"Drama, Family, Sport"
2,tt0041607,The Lucky Stiff,"Comedy, Crime"
2,tt0041615,Madame Bovary,"Drama, Romance"
